text,intent,category
hi,greeting,none
hello,greeting,none
hey,greeting,none
hii,greeting,none
helo,greeting,none
hi there,greeting,none
hello there,greeting,none
good morning,greeting,none
good evening,greeting,none
good afternoon,greeting,none
good night,greeting,none
good day,greeting,none
howdy,greeting,none
hi i am mahesh,greeting,none
hello i am raj,greeting,none
hey i am priya,greeting,none
hi my name is kumar,greeting,none
hello i am new here,greeting,none
hi just registered,greeting,none
hey how are you,greeting,none
hello how does this work,greeting,none
hi i am a buyer,greeting,none
hi i am a seller,greeting,none
what is up,greeting,none
greetings,greeting,none
hi streamsales,greeting,none
hello support,greeting,none
hi can you help,greeting,none
hey there,greeting,none
hello assistant,greeting,none
bye,goodbye,none
goodbye,goodbye,none
see you later,goodbye,none
thanks bye,goodbye,none
ok thanks,goodbye,none
thank you goodbye,goodbye,none
that helped thanks,goodbye,none
all good now thanks,goodbye,none
problem solved thank you,goodbye,none
ok i am done,goodbye,none
great thanks,goodbye,none
thank you so much,goodbye,none
how to buy a product,flow_request,how_to_buy
how to order something,flow_request,how_to_buy
how do i purchase,flow_request,how_to_buy
steps to buy,flow_request,how_to_buy
how to place an order,flow_request,how_to_buy
i want to buy a product,flow_request,how_to_buy
how do i order an item,flow_request,how_to_buy
purchase steps,flow_request,how_to_buy
buying process,flow_request,how_to_buy
how to add to cart,flow_request,how_to_buy
how to checkout,flow_request,how_to_buy
how to complete purchase,flow_request,how_to_buy
ordering guide,flow_request,how_to_buy
buy product steps,flow_request,how_to_buy
i want to order something,flow_request,how_to_buy
how to become a seller,flow_request,how_to_sell
steps to start selling,flow_request,how_to_sell
how do i sell products,flow_request,how_to_sell
how to list a product,flow_request,how_to_sell
selling guide,flow_request,how_to_sell
how to register as seller,flow_request,how_to_sell
how to go live as seller,flow_request,how_to_sell
how to start live stream,flow_request,how_to_sell
how to create product listing,flow_request,how_to_sell
seller registration steps,flow_request,how_to_sell
how do i start streaming,flow_request,how_to_sell
how to set up my store,flow_request,how_to_sell
how to track my order,flow_request,how_to_track
order tracking steps,flow_request,how_to_track
how do i check order status,flow_request,how_to_track
where to find my order,flow_request,how_to_track
how to find delivery status,flow_request,how_to_track
track shipment steps,flow_request,how_to_track
how to see my orders,flow_request,how_to_track
where is my order history,flow_request,how_to_track
i cannot login to my account,support_request,login_issue
my password is not working,support_request,login_issue
login page shows error,support_request,login_issue
forgot my password need to reset,support_request,login_issue
account login failed invalid credentials,support_request,login_issue
i am unable to sign in,support_request,login_issue
login button not working,support_request,login_issue
keep getting invalid password error,support_request,login_issue
password reset email not received,support_request,login_issue
cannot access my account after reset,support_request,login_issue
two factor authentication not working,support_request,login_issue
session keeps expiring automatically,support_request,login_issue
cannot log in from mobile device,support_request,login_issue
account locked after wrong password,support_request,login_issue
forgot password link not working,support_request,login_issue
sign in page not loading,support_request,login_issue
login gives 403 error,support_request,login_issue
cannot remember my login email,support_request,login_issue
my account password changed itself,support_request,login_issue
verification code not arriving,support_request,login_issue
login keeps failing,support_request,login_issue
cannot sign in on any device,support_request,login_issue
my order has not been delivered,support_request,order_issue
where is my order,support_request,order_issue
order is stuck in processing,support_request,order_issue
i want to cancel my order,support_request,order_issue
order shows delivered but not received,support_request,order_issue
order placed but no confirmation received,support_request,order_issue
order quantity was wrong,support_request,order_issue
delivery address was incorrect on order,support_request,order_issue
shipment tracking not updating,support_request,order_issue
order cancelled without my request,support_request,order_issue
order taking too long to ship,support_request,order_issue
duplicate order was placed accidentally,support_request,order_issue
never received my package,support_request,order_issue
order status stuck on placed,support_request,order_issue
i want to return my order,support_request,order_issue
my order arrived very late,support_request,order_issue
order shows shipped but no update,support_request,order_issue
wrong price was charged on order,support_request,order_issue
order got lost in transit,support_request,order_issue
cannot cancel my order now,support_request,order_issue
order is taking weeks,support_request,order_issue
i cannot create a product listing,support_request,seller_issue
my seller dashboard is not loading,support_request,seller_issue
product images not uploading in store,support_request,seller_issue
seller profile update not saving,support_request,seller_issue
i cannot edit my product price,support_request,seller_issue
orders not showing in seller dashboard,support_request,seller_issue
my store page is not visible to buyers,support_request,seller_issue
product category not available in listing,support_request,seller_issue
seller account suspended unexpectedly,support_request,seller_issue
cannot start live stream session,support_request,seller_issue
stream keeps disconnecting repeatedly,support_request,seller_issue
products not appearing in marketplace,support_request,seller_issue
cannot delete my product listing,support_request,seller_issue
seller payout not received yet,support_request,seller_issue
my seller profile picture not uploading,support_request,seller_issue
stream audio not working properly,support_request,seller_issue
cannot add new products to store,support_request,seller_issue
seller verification not completed,support_request,seller_issue
my sales data is not showing,support_request,seller_issue
product description not saving properly,support_request,seller_issue
stream viewer count not updating,support_request,seller_issue
cannot manage orders from dashboard,support_request,seller_issue
my account details are incorrect,support_request,account_issue
i want to delete my account,support_request,account_issue
email address change not working,support_request,account_issue
profile picture not updating at all,support_request,account_issue
i need to change my phone number,support_request,account_issue
account verification email not received,support_request,account_issue
my name is showing incorrectly everywhere,support_request,account_issue
cannot update billing information,support_request,account_issue
i think my account was hacked,support_request,account_issue
privacy settings are not saving,support_request,account_issue
